# weights, mloglkl, A_IA, D_z1, D_z2, D_z3, D_z4, D_z5
2.210798587629437029e-42 2.789466339778705333e+02 -5.980220317840576172e+00 2.767813217639923662e-02 -6.861250770092011675e-02 -6.819038844108581132e-02 -3.491691112518312268e-03 -2.190949916839598360e-03
7.332110856106643901e-42 2.777467243306428486e+02 -5.976204156875610352e+00 -5.632067728042602917e-02 2.695038592815399148e-02 -6.784498357772826560e-02 3.509005737304687206e-02 2.406159389019012218e-02
1.740073158619967465e-41 2.768814755294763472e+02 -5.569359540939331055e+00 4.360903537273407016e-02 -5.572333216667176015e-02 -7.230047106742859553e-02 -3.522844219207763722e-02 -3.116190183162689462e-02
1.122565499266451318e-40 2.750162009038372162e+02 -5.857795715332031250e+00 9.151603066921233653e-02 -4.418624639511148366e-04 -7.341080260276794389e-02 -3.683565616607667459e-03 2.024671554565427023e-03
3.078885028287468708e-40 2.740062500663652258e+02 -5.852056503295898438e+00 9.949298894405365912e-02 -2.836910176277161050e-02 -4.082374548912048179e-02 -9.906260490417480996e-03 8.035826325416564608e-03
1.406670581151287309e-39 2.724860068788297554e+02 -5.872405529022216797e+00 -7.255484068393708297e-02 5.051190662384033581e-02 -6.892328238487244185e-02 -2.392683219909667869e-02 1.143541002273559815e-02
4.535834341372478370e-39 2.713142234561175883e+02 -5.940347671508789062e+00 6.557696878910064531e-02 -5.052774059772491971e-02 6.942494559288024669e-02 2.240673637390136475e-02 -3.030441248416900629e-02
1.914284247586477804e-38 2.698733036163055203e+02 -5.997551679611206055e+00 5.690309643745423973e-02 -3.181379306316375888e-02 -9.838110923767087734e-03 -2.324905300140380632e-02 2.515537726879119723e-02
2.121791902149320469e-38 2.697693864394852881e+02 -5.962167263031005859e+00 8.090764188766479126e-02 2.429835569858551647e-02 -2.659368252754211459e-02 -2.123093748092651223e-02 -2.271263766288757202e-02
4.068468296067417613e-38 2.691173808194322987e+02 -5.875840187072753906e+00 1.020115982294082652e-01 -1.113629293441772278e-02 5.521827721595763683e-02 -2.676371240615844568e-02 -1.504786527156829964e-02
5.533567272640511144e-38 2.688088147240318904e+02 -5.652858495712280273e+00 5.152753973007202781e-02 6.155685603618621382e-02 -7.083880233764648648e-02 -3.557185506820678689e-02 9.228669404983541602e-04
9.648969706079301632e-38 2.682517962645790703e+02 -5.858141183853149414e+00 2.362440669536590432e-02 -6.377262532711029663e-02 -1.678347587585449219e-03 3.047622442245483815e-02 1.660116434097290428e-02
3.063676452589653118e-37 2.670954466651372172e+02 -5.962813854217529297e+00 -3.256054759025574230e-02 -4.860382640361786410e-02 2.907492184638976740e-02 -1.659501171112060317e-02 -2.617885386943817269e-02
3.208024158279133513e-37 2.670484070944150403e+02 -5.763775348663330078e+00 -9.429093897342682995e-02 -4.788226604461670588e-02 2.252361989021300914e-02 3.099275779724120633e-02 -1.135718822479248047e-02
