# weights, mloglkl, A_IA, D_z1, D_z2, D_z3, D_z4, D_z5
1.864314784479924520e-99 4.147349443525081369e+02 -5.256309270858764648e+00 4.255654406547547397e-02 -2.367210352420807268e-02 1.124121880531310513e-02 -7.030134201049809128e-04 2.100674629211422839e-03
2.676568910345777288e-99 4.143723022133480640e+02 -4.807010650634765625e+00 -5.591903150081634771e-02 -6.496381723880768899e-02 -7.127797150611878130e-02 -1.127777910232543798e-02 2.155019581317901833e-02
5.548813307556258436e-99 4.136422538438699803e+02 -5.190085172653198242e+00 -1.039748046398162873e-01 2.457276463508606401e-02 5.165999436378478082e-02 1.443921518325805287e-02 2.084518074989318709e-02
1.349683449787502884e-98 4.127523827539972103e+02 -5.195254325866699219e+00 -4.789502835273742876e-02 -1.054165935516357400e-02 7.301486134529112937e-02 1.255324888229369940e-02 -2.752957642078399797e-02
1.394925057837163004e-98 4.127184121454638444e+02 -5.227498769760131836e+00 -7.031820774078370584e-02 2.184712493419647961e-02 2.231264090538025158e-02 8.934257984161378396e-03 1.022982501983642906e-02
1.484567657951018493e-98 4.126551292468751626e+02 -4.985080003738403320e+00 -9.055375170707702370e-02 -6.177149891853334074e-03 -1.389576029777526978e-02 2.695697736740112344e-02 -3.245658981800079307e-02
2.899319150948071194e-98 4.119847769034203679e+02 -5.272107839584350586e+00 2.725852203369140414e-02 3.174703538417816828e-02 1.041634583473205478e-02 -2.005638313293457015e-02 2.352822303771970325e-03
1.200750035280094080e-97 4.105627213533750250e+02 -4.844565868377685547e+00 3.603787922859193193e-02 -4.690679454803467485e-02 -7.388607716560363636e-02 -1.813002061843872054e-02 -2.867560994625091564e-02
2.221391787644812706e-97 4.099465338135031516e+02 -5.123659372329711914e+00 5.819422924518584395e-02 -6.256963813304901312e-02 6.634344363212586748e-02 1.338940715789795066e-02 2.622870039939880632e-02
2.846785779973281966e-97 4.096974771829805491e+02 -5.209664583206176758e+00 5.838945221900941618e-02 -2.018320870399475248e-02 6.699145317077635775e-02 2.963087368011473738e-02 1.862188231945038214e-02
8.653516758271105138e-97 4.085847019443496606e+02 -5.020627498626708984e+00 -3.233362197875976063e-02 1.603002727031707653e-02 -5.515834951400756803e-02 1.395999670028686551e-02 -1.225607800483703713e-02
2.135467064494095086e-96 4.076803972629995769e+02 -4.934976339340209961e+00 1.034167656898498516e-01 1.304391252994537009e-02 -4.405326747894287159e-02 2.944761228561400962e-02 8.697741508483888828e-03
3.790058022124936520e-96 4.071057013230805524e+02 -5.141471385955810547e+00 6.613762986660003118e-02 -2.479105961322784768e-02 9.598176956176762697e-03 4.732652664184572311e-03 2.174465274810791215e-02
5.607217897024637713e-96 4.067130279733330553e+02 -4.939842224121093750e+00 2.240005445480346136e-02 3.529779374599456565e-02 -7.241584467887877963e-02 3.320075225830077664e-02 2.836833643913268949e-02
5.640322698517577288e-96 4.067061413714030209e+02 -4.926702976226806641e+00 -2.757224285602569158e-02 -2.518111824989319181e-02 -5.479250693321227605e-02 1.454979944229126132e-02 3.278713238239289174e-02
7.107245901406941985e-96 4.064739678381908448e+02 -5.115674972534179688e+00 1.576894497871399181e-02 5.198919582366944014e-02 -1.304796695709228849e-02 -2.030628347396850469e-02 3.089763379096985285e-02
3.499696640721140814e-95 4.048788212676721514e+02 -4.967672824859619141e+00 1.057699996232986522e-01 6.089307117462158803e-02 -3.960825920104979470e-03 1.656095409393310708e-02 -2.937603020668029877e-02
4.838744593819801040e-95 4.045538422526902309e+02 -5.008998155593872070e+00 -4.280242431163788774e-02 -5.583851301670075123e-02 3.471473693847662578e-03 4.851837158203128886e-04 5.957319259643552301e-03
1.244827241749592830e-94 4.036079157066959056e+02 -5.118330717086791992e+00 2.124495148658755994e-03 5.288372898101807718e-02 2.714715600013732633e-02 3.356659269332885193e-02 -2.284670126438140964e-02
2.996460335359394466e-94 4.027284807614989290e+02 -5.145622730255126953e+00 -1.266367650032043657e-02 1.726321005821228327e-02 6.173706293106082099e-03 8.140285491943358154e-03 3.460740208625794068e-03
1.345285861574727496e-93 4.012257208453854105e+02 -4.896567106246948242e+00 -1.088931348323822074e-01 -2.272668778896332065e-02 3.891124749183655362e-02 3.157813596725463773e-02 -2.475911486148834467e-02
2.289860705850250110e-92 3.983902512907727669e+02 -4.536193370819091797e+00 9.285568678379059471e-02 -6.796391522884369374e-02 -7.483488750457763239e-02 5.354611873626707874e-03 -3.037935733795166238e-02
3.824673785677586296e-92 3.978762691004978933e+02 -4.945823907852172852e+00 3.139516532421111894e-02 6.716451752185823021e-02 -3.759987688064575506e-02 -1.913033437728881708e-02 3.273451638221741566e-02
7.215341176960906407e-92 3.972405328010673884e+02 -4.925857543945312500e+00 5.614616632461544299e-03 -3.901121842861175748e-02 -3.859697341918946756e-03 1.428046703338625711e-03 -2.975028634071350334e-02
1.108764406037748146e-91 3.968099109387538306e+02 -4.987766504287719727e+00 9.433119142055511330e-02 4.227733540534973911e-02 1.852181625366211559e-02 3.168324422836302917e-02 1.359531748294830200e-02
1.647571963601168475e-91 3.964128545194283788e+02 -5.113974094390869141e+00 6.317918658256531372e-02 1.952604532241816737e-03 4.598448300361633601e-02 -8.535346984863273478e-04 1.442824745178222789e-02
1.440822932821933167e-90 3.942433576618800544e+02 -4.787188768386840820e+00 -6.064209687709808810e-02 -3.168653726577763674e-03 -4.357575201988220237e-02 -1.298004627227782037e-03 -2.350740873813629214e-02
2.719249703705103975e-90 3.936072160953313528e+02 -4.952401399612426758e+00 2.583366072177888106e-02 -4.722628712654108885e-03 -3.293453550338745067e-02 1.246197223663328413e-03 1.994136178493499667e-02
9.886823929285115041e-90 3.923153691389101141e+02 -4.558589458465576172e+00 -1.882310986518864748e-03 -6.440640377998352317e-02 -5.985431027412414784e-02 -1.777171611785888575e-02 -3.073641443252563693e-02
2.398856867924099163e-89 3.914279946815141216e+02 -4.802459478378295898e+00 6.996758186817168823e-02 -5.861187672615052191e-02 -1.854241204261779935e-02 1.985956478118896390e-02 2.190005779266479546e-05
5.915385053986925463e-89 3.905244304071710530e+02 -4.625329971313476562e+00 -1.018290814161300767e-01 2.067077994346619429e-02 -7.058665037155151256e-02 5.395188331604003351e-03 4.644165515899655039e-03
6.151899212912629663e-89 3.904842261511145693e+02 -4.692722797393798828e+00 -6.270096909999847701e-02 4.459324121475220781e-02 -7.316696333885193415e-02 1.538367891311645530e-02 2.041634166240692549e-02
1.179946504561121621e-88 3.898319328050408785e+02 -4.525516033172607422e+00 -7.334443581104278798e-02 -4.585082066059113087e-02 -7.398932576179503839e-02 1.952761030197143477e-02 1.997683382034301514e-02
2.260830104387982759e-88 3.891806698587015489e+02 -4.874286890029907227e+00 -3.371240079402923473e-02 -4.917134070396424195e-02 3.133676719665527688e-02 2.961782741546630654e-02 1.765547883510589638e-02
7.002251132313165071e-88 3.880491702196864026e+02 -4.928574085235595703e+00 -5.501130115985870817e-02 -1.173597693443301226e-03 6.771116209030152155e-02 1.549870920181273953e-02 -1.802599382400512859e-02
1.055349410274154326e-87 3.876379449077111872e+02 -4.905674457550048828e+00 8.406839346885681963e-02 -3.490057075023651756e-02 7.358486723899841653e-02 -9.145216941833494290e-03 -8.642064929008482638e-03
2.137119240894248832e-87 3.869313580413327713e+02 -4.752556800842285156e+00 3.681002604961396141e-02 1.401486825942993564e-02 -6.192030501365661244e-02 -1.181520795822143394e-02 2.889400470256805326e-02
2.548663553154413562e-86 3.844516625964035939e+02 -4.819978952407836914e+00 -6.488065445423127353e-02 -2.850891780853271468e-02 5.550447964668274448e-02 3.565790891647339228e-02 1.711960208415985035e-02
1.015937660555612335e-85 3.830678346388380646e+02 -4.715154647827148438e+00 -5.828166604042048227e-03 -5.701633036136627419e-02 1.730075097084045332e-02 2.834262371063232810e-03 -3.148445069789886780e-02
2.368216104115475390e-85 3.822205096553493036e+02 -4.623782157897949219e+00 9.565630030632020497e-02 1.490347087383270264e-02 -6.194487118721007934e-02 1.658442020416261986e-03 1.735446417331695801e-02
