# z_mid nz_bin1_blue nz_bin2_blue nz_bin3_blue nz_bin4_blue nz_bin5_blue nz_bin1_red nz_bin2_red nz_bin3_red nz_bin4_red nz_bin5_red
0.025 0.293270 0.096240 0.053355 0.024499 0.011648 0.145043 0.060389 0.062559 0.020009 0.000474
0.075 0.947225 0.157097 0.045696 0.020915 0.013609 0.225729 0.037441 0.006530 0.000000 0.000000
0.125 2.907987 0.580678 0.246168 0.085487 0.053463 1.824124 0.130547 0.090158 0.006759 0.011699
0.175 2.114026 0.674284 0.300487 0.085784 0.043414 1.350248 0.144009 0.095582 0.016010 0.023340
0.225 4.459245 1.441622 0.451808 0.091641 0.045289 4.602752 1.006628 0.403987 0.027893 0.023306
0.275 2.375525 1.527097 0.486021 0.105330 0.031767 3.223852 1.555942 0.497437 0.053670 0.037988
0.325 1.501659 2.329245 0.902252 0.235422 0.094584 2.574221 3.475973 1.281023 0.138520 0.038917
0.375 0.759026 2.057915 0.697235 0.127702 0.050851 1.751473 3.638858 1.406310 0.160313 0.055632
0.425 0.446622 1.845727 0.877965 0.181608 0.044746 0.662069 2.894433 1.510343 0.193242 0.075185
0.475 0.263802 1.276030 0.874574 0.134204 0.044130 0.622306 2.437273 2.178485 0.250910 0.067573
0.525 0.421469 1.580579 1.805389 0.316875 0.095131 0.676488 2.157118 3.443828 0.693566 0.184337
0.575 0.148021 0.939644 1.516929 0.354270 0.112625 0.368499 0.810006 2.228356 0.855538 0.229511
0.625 0.256029 0.909617 1.819344 0.686302 0.221804 0.328949 0.564393 2.338673 1.862668 0.573730
0.675 0.184628 0.789443 1.555422 1.351413 0.415145 0.275322 0.330672 1.983664 3.703754 1.255767
0.725 0.178449 0.609692 1.391697 2.093931 0.781050 0.206273 0.186569 0.960436 3.732100 1.885326
0.775 0.226749 0.493822 1.137266 2.313013 1.028603 0.233530 0.119233 0.569379 2.313647 1.535366
0.825 0.232995 0.375131 0.805219 2.284608 1.233678 0.201331 0.054954 0.209923 1.733275 1.724386
0.875 0.142777 0.274605 0.701534 2.300678 1.725674 0.071638 0.055295 0.181971 1.886330 2.537489
